,Name,Latitude,Longitude,Rating,Address,City
104,Just Food For Dogs,33.635517,-117.9233335,4.7,"103 E 17th St, Costa Mesa",Costa Mesa
105,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
106,Pet Mart,33.8635117,-118.3888634,4.4,"1054 Aviation Blvd, Hermosa Beach",Hermosa Beach
107,Kriser's Natural Pet,33.62841,-117.906317,4.4,"1044 Irvine Ave, Newport Beach",Newport Beach
108,AGE OF AQUARIUMS,33.8051375,-118.1672737,4.5,"2642 Cherry Ave, Signal Hill",Signal Hill
109,Kriser's Natural Pet,33.866307,-118.3938349,4.6,"1559 Pacific Coast Hwy, Hermosa Beach",Hermosa Beach
110,Propes Labrador Retrievers,40.2326205,-100.8271621,4.0,"1401 Arizona St, Culbertson",Culbertson
111,Propes Labrador Retrievers,40.2326205,-100.8271621,4.0,"1401 Arizona St, Culbertson",Culbertson
112,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar",Sylmar
113,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne",La Verne
114,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo",Mission Viejo
115,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
116,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona",Corona
117,Ask Ariel Your Pet Nutritionist,33.6590775,-117.6991694,4.9,"1 S Pointe Dr, Lake Forest",Lake Forest
118,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange",Orange
119,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana",Santa Ana
120,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel",Laguna Niguel
121,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach",Huntington Beach
122,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove",Garden Grove
123,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
124,Kahoots Pet Store,33.9856908,-117.7138885,4.7,"4200 Chino Hills Pkwy, Chino Hills",Chino Hills
125,Kahoots Feed & Pet Store,33.8820704,-117.3686806,4.5,"16851 Van Buren Boulevard, Riverside",Riverside
126,Kahoots Feed & Pet Store,33.9380668,-117.5437274,4.7,"1004 Sixth St, Norco",Norco
127,Pets Plus,33.497631,-117.66222,4.5,"32022 Camino Capistrano, San Juan Capistrano",San Juan Capistrano
128,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
129,The Urban Pet,34.0763114,-118.3538996,4.7,"7515 Beverly Blvd, Los Angeles",Los Angeles
130,Zoom Room Dog Training,33.685642,-117.9904309,4.6,"19069 Beach Blvd, Huntington Beach",Huntington Beach
131,Paw In Order,33.8021939,-117.8590025,4.9,"618 W Collins Ave, Orange",Orange
132,PetSmart,33.829203,-118.144255,4.6,"3871 N Lakewood Blvd, Long Beach",Long Beach
133,Pinnacle Pet Services,34.1170015,-118.1506226,0.0,"721 Fair Oaks Ave, South Pasadena",South Pasadena
134,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo",Mission Viejo
135,Catherine's Pet Services,33.6370118,-117.8594386,0.0,"9413 Residencia, Newport Beach",Newport Beach
136,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona",Corona
137,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana",Santa Ana
138,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange",Orange
139,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel",Laguna Niguel
140,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne",La Verne
141,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar",Sylmar
142,Animal & Bird Veterinary Medical Center,33.926549,-117.557576,3.2,"3119 Hamner Ave, Norco",Norco
143,Vetco,34.0525678,-118.384269,3.0,"1475 S Robertson Blvd, Los Angeles",Los Angeles
144,"Pets R Us, Pet Grooming & Supplies",34.1604446,-118.2743521,3.5,"838 W Glenoaks Blvd, Glendale",Glendale
145,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne",La Verne
146,S F Pet Shop & Grooming,34.079626,-118.092806,0.0,"600 E Valley Blvd, San Gabriel",San Gabriel
147,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach",Laguna Beach
148,Peek-A-Dog Pet Grooming Adoptions,33.9591913,-118.2113411,4.4,"8452 State St, South Gate",South Gate
149,Armando's Pets & Grooming,34.1400274,-117.9582202,4.5,"2155 E Huntington Dr, Duarte",Duarte
150,MG Planet Pet Grooming,33.9909164,-117.8899766,4.6,"1457 Nogales St, Rowland Heights",Rowland Heights
151,Mike's Pet Store and pet grooming,33.974553,-118.2532615,3.7,"1224 Florence St, Los Angeles",Los Angeles
152,Pets & Grooming,33.9532045,-118.130807,4.5,"7952 Florence Ave, Downey",Downey
153,Kriser's Natural Pet,33.6717269,-117.7894796,4.4,"Alton Square, 5365 Alton Pkwy, Irvine",Irvine
154,Birdhouse/Doghouse,34.1751286,-118.3806228,4.4,"5742 Lankershim Blvd, North Hollywood",North Hollywood
155,Button Nose Pet Shop,34.2028308,-118.1972586,4.9,"838 Foothill Blvd, La Cañada Flintridge",La Cañada Flintridge
156,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach",Laguna Beach
157,Pussy & Pooch Pethouse and Pawbar,33.761255,-118.1376665,4.2,"4818 E 2nd St, Long Beach",Long Beach
158,Local Pet Market,33.687393,-117.988492,4.9,"18900 Beach Blvd #109, Huntington Beach",Huntington Beach
159,MY MASTER'S BEST FRIEND-Pet Food&Supply Delivery-Downey Long Beach Santa Monica Los Angeles Near Me,33.952306,-118.344688,4.5,"4118, 903 S Prairie Ave ste 903, Inglewood",Inglewood
160,PJ's Pet Cafe,33.775092,-118.1520865,4.0,"3412 E 7th St Suite A, Long Beach",Long Beach
161,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
162,Just Food For Dogs,33.8902107,-118.3963081,4.7,"1605 N Sepulveda Blvd, Manhattan Beach",Manhattan Beach
163,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
164,Just Food For Dogs,33.635517,-117.9233335,4.7,"103 E 17th St, Costa Mesa",Costa Mesa
165,Pet Mart,33.8635117,-118.3888634,4.4,"1054 Aviation Blvd, Hermosa Beach",Hermosa Beach
166,Pet Foods Market & Supplies,33.891918,-118.395513,4.6,"1816 N Sepulveda Blvd, Manhattan Beach",Manhattan Beach
167,Kriser's Natural Pet,33.62841,-117.906317,4.4,"1044 Irvine Ave, Newport Beach",Newport Beach
168,Pet Supply,33.65131,-117.9549833,4.8,"21425 Brookhurst St, Huntington Beach",Huntington Beach
169,AGE OF AQUARIUMS,33.8051375,-118.1672737,4.5,"2642 Cherry Ave, Signal Hill",Signal Hill
170,Kriser's Natural Pet,33.866307,-118.3938349,4.6,"1559 Pacific Coast Hwy, Hermosa Beach",Hermosa Beach
171,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar",Sylmar
172,Petco,34.16462980000001,-118.5227222,4.3,"17919 Ventura Blvd, Encino",Encino
173,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne",La Verne
174,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo",Mission Viejo
175,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
176,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona",Corona
177,Ask Ariel Your Pet Nutritionist,33.6590775,-117.6991694,4.9,"1 S Pointe Dr, Lake Forest",Lake Forest
178,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange",Orange
179,Green Dog Dental & Wellness,34.1489587,-118.4357809,4.7,"13907 Ventura Blvd #101, Sherman Oaks",Sherman Oaks
180,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana",Santa Ana
181,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach",Huntington Beach
182,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove",Garden Grove
183,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
184,Kahoots Pet Store,33.9856908,-117.7138885,4.7,"4200 Chino Hills Pkwy, Chino Hills",Chino Hills
185,Kahoots Feed & Pet Store,33.9380668,-117.5437274,4.7,"1004 Sixth St, Norco",Norco
186,Pets Plus,33.497631,-117.66222,4.5,"32022 Camino Capistrano, San Juan Capistrano",San Juan Capistrano
187,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
188,"Pets R Us, Pet Grooming & Supplies",34.1604446,-118.2743521,3.5,"838 W Glenoaks Blvd, Glendale",Glendale
189,Animal Lovers Pet Shop,33.8058724,-118.3582023,4.5,"24028 Vista Montana, Torrance",Torrance
190,Dog Lovers,33.9907419,-118.3305499,3.8,"5700 Crenshaw Blvd, Los Angeles",Los Angeles
191,The Urban Pet,34.0763114,-118.3538996,4.7,"7515 Beverly Blvd, Los Angeles",Los Angeles
192,Zoom Room Dog Training,33.685642,-117.9904309,4.6,"19069 Beach Blvd, Huntington Beach",Huntington Beach
193,Paw In Order,33.8021939,-117.8590025,4.9,"618 W Collins Ave, Orange",Orange
194,PetSmart,33.829203,-118.144255,4.6,"3871 N Lakewood Blvd, Long Beach",Long Beach
195,Pinnacle Pet Services,34.1170015,-118.1506226,0.0,"721 Fair Oaks Ave, South Pasadena",South Pasadena
196,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona",Corona
197,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana",Santa Ana
198,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange",Orange
199,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel",Laguna Niguel
200,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne",La Verne
201,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar",Sylmar
202,Animal & Bird Veterinary Medical Center,33.926549,-117.557576,3.2,"3119 Hamner Ave, Norco",Norco
203,"Pets R Us, Pet Grooming & Supplies",34.1604446,-118.2743521,3.5,"838 W Glenoaks Blvd, Glendale",Glendale
204,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne",La Verne
205,S F Pet Shop & Grooming,34.079626,-118.092806,0.0,"600 E Valley Blvd, San Gabriel",San Gabriel
206,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach",Laguna Beach
207,Katie's PET DEPOT,34.0415508,-118.4708828,4.3,"12423 Wilshire Blvd, Los Angeles",Los Angeles
208,Peek-A-Dog Pet Grooming Adoptions,33.9591913,-118.2113411,4.4,"8452 State St, South Gate",South Gate
209,Armando's Pets & Grooming,34.1400274,-117.9582202,4.5,"2155 E Huntington Dr, Duarte",Duarte
210,MG Planet Pet Grooming,33.9909164,-117.8899766,4.6,"1457 Nogales St, Rowland Heights",Rowland Heights
211,Mike's Pet Store and pet grooming,33.974553,-118.2532615,3.7,"1224 Florence St, Los Angeles",Los Angeles
212,Pets & Grooming,33.9532045,-118.130807,4.5,"7952 Florence Ave, Downey",Downey
213,Bark Williams,34.0201137,-118.4546141,4.7,"2901 Ocean Park Blvd #118, Santa Monica",Santa Monica
214,Kriser's Natural Pet,33.6717269,-117.7894796,4.4,"Alton Square, 5365 Alton Pkwy, Irvine",Irvine
215,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach",Laguna Beach
216,Pussy & Pooch Pethouse and Pawbar,33.761255,-118.1376665,4.2,"4818 E 2nd St, Long Beach",Long Beach
217,Local Pet Market,33.687393,-117.988492,4.9,"18900 Beach Blvd #109, Huntington Beach",Huntington Beach
218,PJ's Pet Cafe,33.775092,-118.1520865,4.0,"3412 E 7th St Suite A, Long Beach",Long Beach
219,MY MASTER'S BEST FRIEND-Pet Food&Supply Delivery-Downey Long Beach Santa Monica Los Angeles Near Me,33.952306,-118.344688,4.5,"4118, 903 S Prairie Ave ste 903, Inglewood",Inglewood
220,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
221,Just Food For Dogs,33.8902107,-118.3963081,4.7,"1605 N Sepulveda Blvd, Manhattan Beach",Manhattan Beach
222,Just Food For Dogs,33.635517,-117.9233335,4.7,"103 E 17th St, Costa Mesa",Costa Mesa
223,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
224,Pet Mart,33.8635117,-118.3888634,4.4,"1054 Aviation Blvd, Hermosa Beach",Hermosa Beach
225,Kriser's Natural Pet,33.62841,-117.906317,4.4,"1044 Irvine Ave, Newport Beach",Newport Beach
226,AGE OF AQUARIUMS,33.8051375,-118.1672737,4.5,"2642 Cherry Ave, Signal Hill",Signal Hill
227,Kriser's Natural Pet,33.866307,-118.3938349,4.6,"1559 Pacific Coast Hwy, Hermosa Beach",Hermosa Beach
228,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo",Mission Viejo
229,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
230,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona",Corona
231,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange",Orange
232,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana",Santa Ana
233,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel",Laguna Niguel
234,Perris Valley Veterinary Clinic,33.8160097,-117.2286809,3.8,"2560 N Perris Blvd, Perris",Perris
235,Ask Ariel Your Pet Nutritionist,33.6590775,-117.6991694,4.9,"1 S Pointe Dr, Lake Forest",Lake Forest
236,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach",Huntington Beach
237,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove",Garden Grove
238,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
239,Kahoots Feed & Pet Store,33.5542378,-117.2074987,4.7,"41711 Ivy St, Murrieta",Murrieta
240,Kahoots Pet Store,33.372436,-117.252433,4.4,"1101 S Main Ave B, Fallbrook",Fallbrook
241,Kahoots Pet Store,33.1770658,-117.3249001,4.6,"2616 El Camino Real, Carlsbad",Carlsbad
242,Kahoots Feed & Pet Store,33.8820704,-117.3686806,4.5,"16851 Van Buren Boulevard, Riverside",Riverside
243,Pets Plus,33.497631,-117.66222,4.5,"32022 Camino Capistrano, San Juan Capistrano",San Juan Capistrano
244,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
245,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo",Mission Viejo
246,Pier K9 Pet Shop,33.188113,-117.373785,4.8,"403 Wisconsin Ave ste c, Oceanside",Oceanside
